t,y1,y2,H
9.93,-1.54423873382791,-0.277128375256289,-0.5
9.96,-1.53783901461291,-0.291538539096857,-0.5
9.99,-1.53107834299454,-0.30588026587604,-0.5
10.02,-1.52395560895387,-0.320149649966586,-0.5
10.05,-1.51646963341902,-0.334342714795264,-0.5
10.08,-1.50861916740493,-0.348455407916513,-0.5
10.11,-1.50040289110555,-0.362483595873451,-0.5
10.14,-1.49181941293871,-0.376423058828614,-0.5
10.17,-1.48286726854417,-0.390269484945507,-0.5
10.2,-1.47354491973583,-0.404018464500688,-0.5
10.23,-1.46385075340873,-0.417665483704569,-0.5
10.26,-1.4537830804025,-0.431205918207425,-0.5
10.29,-1.4433401343225,-0.444635026265296,-0.5
10.32,-1.43252007032095,-0.457947941538373,-0.5
10.35,-1.42132096384022,-0.471139665492294,-0.5
10.38,-1.40974080932148,-0.484205059370238,-0.5
10.41,-1.39777751888226,-0.497138835701056,-0.5
10.44,-1.38542892096727,-0.509935549305615,-0.5
10.47,-1.37269275897775,-0.52258958776029,-0.5
10.5,-1.35956668988557,-0.535095161272817,-0.5
10.53,-1.34604828283959,-0.547446291921741,-0.5
10.56,-1.33213501777298,-0.559636802206181,-0.5
10.59,-1.31782428402211,-0.571660302847696,-0.5
10.62,-1.30311337896908,-0.583510179780552,-0.5
10.65,-1.28799950672269,-0.595179580260592,-0.5
10.68,-1.27247977685467,-0.606661398016147,-0.5
10.71,-1.25655120321137,-0.617948257356894,-0.5
10.74,-1.24021070282456,-0.629032496148217,-0.5
10.77,-1.22345509494874,-0.639906147549264,-0.5
10.8,-1.20628110025774,-0.6505609204025,-0.5
10.83,-1.18868534023841,-0.660988178150944,-0.5
10.86,-1.17066433682622,-0.671178916146258,-0.5
10.89,-1.15221451233504,-0.681123737196342,-0.5
10.92,-1.13333218974262,-0.690812825184776,-0.5
10.95,-1.11401359340389,-0.700235916576218,-0.5
10.98,-1.09425485027676,-0.709382269601317,-0.5
11.01,-1.07405199176015,-0.71824063089169,-0.5
11.04,-1.05340095626129,-0.726799199309601,-0.5
11.07,-1.03229759263041,-0.735045586687758,-0.5
11.1,-1.01073766462532,-0.742966775161827,-0.5
11.13,-0.988716856598086,-0.750549070741162,-0.5
11.16,-0.966230780630547,-0.757778052721436,-0.5
11.19,-0.943274985387281,-0.764638518495657,-0.5
11.22,-0.919844967004371,-0.771114423266752,-0.5
11.25,-0.895936182391896,-0.777188814104713,-0.5
11.28,-0.871544065399635,-0.782843757723336,-0.5
11.31,-0.846664046381581,-0.788060261274889,-0.5
11.34,-0.821291575798629,-0.792818185374599,-0.5
11.37,-0.795422152624247,-0.797096148469481,-0.5
11.4,-0.769051358469931,-0.800871421556698,-0.5
11.43,-0.742174898531788,-0.80411981213416,-0.5
11.46,-0.714788650684323,-0.806815536129467,-0.5
11.49,-0.686888724321761,-0.808931076401859,-0.5
11.52,-0.658471530882845,-0.81043702624518,-0.5
11.55,-0.629533868406723,-0.811301916138587,-0.5
11.58,-0.600073022973741,-0.811492021797445,-0.5
11.61,-0.570086890508993,-0.8109711513734,-0.5
11.64,-0.539574123197315,-0.809700409446542,-0.5
11.67,-0.508534305712861,-0.807637935255245,-0.5
11.7,-0.476968167650143,-0.804738612438682,-0.5
11.73,-0.44487784001404,-0.80095374745128,-0.5
11.76,-0.412267165455138,-0.796230713790593,-0.5
11.79,-0.379142074212443,-0.790512559325298,-0.5
11.82,-0.34551104055608,-0.783737574415295,-0.5
11.85,-0.311385638038515,-0.775838819325676,-0.5
11.88,-0.276781216216984,-0.766743610863147,-0.5
11.91,-0.241717726874609,-0.756372970519363,-0.5
11.94,-0.206220734323813,-0.744641040145521,-0.5
11.97,-0.170322652286356,-0.731454476965607,-0.5
12,-0.134064259203081,-0.716711848509669,-0.5
12.03,-0.09749655455738,-0.700303061160648,-0.5
12.06,-0.0606830304747505,-0.682108875345232,-0.5
12.09,-0.0237024443992153,-0.662000588542311,-0.5
12.12,0.0133478122320041,-0.639840007642185,-0.5
12.15,0.0503476520183066,-0.615479889017524,-0.5
12.18,0.0871494511042812,-0.588765102731323,-0.5
12.21,0.123572384450607,-0.559534880795185,-0.5
12.24,0.15939597880751,-0.527626639249697,-0.5
12.27,0.194353091895627,-0.492882012264682,-0.5
12.3,0.228122812866802,-0.455155876822123,-0.5
12.33,0.260324230777692,-0.414329217398838,-0.5
12.36,0.290512662048641,-0.370326564898874,-0.5
12.39,0.318180725537116,-0.323138257636008,-0.5
12.42,0.342767414966071,-0.272846682606534,-0.5
12.45,0.363678604569021,-0.219653794686716,-0.5
12.48,0.380321529818823,-0.163904723150901,-0.5
12.51,0.392152982584355,-0.106099947033587,-0.5
12.54,0.398736150622323,-0.0468879104117477,-0.5
12.57,0.399795575627835,0.0129672105966597,-0.5
12.6,0.395256535334207,0.0726411585115638,-0.5
12.63,0.385257227663559,0.131318898401685,-0.5
12.66,0.370129780833939,0.188262231684085,-0.5
12.69,0.350355871784365,0.242861006073522,-0.5
12.72,0.326509541013917,0.294659670614267,-0.5
12.75,0.29920076204793,0.343359330234652,-0.5
12.78,0.269029415144313,0.3888015990779,-0.5
12.81,0.236553700771795,0.430942660120662,-0.5
12.84,0.202272466802128,0.469824812237764,-0.5
12.87,0.166618487472606,0.505550253708962,-0.5
12.9,0.129959134668359,0.538259380181516,-0.5
12.93,0.0926013393829483,0.568114126429319,-0.5
12.96,0.0547985704922797,0.595285912348863,-0.5
12.99,0.0167583630662571,0.619947360114231,-0.5
13.02,-0.0213504465460823,0.64226689384468,-0.5
13.05,-0.0593911959078416,0.662405437179803,-0.5
13.08,-0.097253736026169,0.680514580397398,-0.5
13.11,-0.13484964108057,0.696735743014306,-0.5
13.14,-0.172108219678797,0.711199988394299,-0.5
13.17,-0.208973228368591,0.724028248793653,-0.5
13.2,-0.245400181879555,0.735331794975225,-0.5
13.23,-0.281354160633907,0.745212838942909,-0.5
13.26,-0.316808027461671,0.753765196569597,-0.5
13.29,-0.351740978358629,0.761074963258979,-0.5
13.32,-0.386137364591572,0.767221173698365,-0.5
13.35,-0.419985734616946,0.772276428761909,-0.5
13.38,-0.453278053851142,0.776307480541623,-0.5
13.41,-0.48600906832612,0.779375771611802,-0.5
13.44,-0.518175784831132,0.781537927873599,-0.5
13.47,-0.549777045477044,0.782846206303003,-0.5
13.5,-0.580813178925198,0.783348900063838,-0.5
13.53,-0.611285713982175,0.783090704037429,-0.5
13.56,-0.64119714403516,0.782113044058278,-0.5
13.59,-0.670550733023694,0.78045437316196,-0.5
13.62,-0.699350355422639,0.778150438035178,-0.5
13.65,-0.727600364137113,0.775234518666339,-0.5
13.68,-0.755305481354691,0.771737643965752,-0.5
13.71,-0.782470708320352,0.767688785881698,-0.5
13.74,-0.809101250740936,0.763115034297159,-0.5
13.77,-0.835202457124389,0.75804175476079,-0.5
13.8,-0.860779767843402,0.752492730889738,-0.5
13.83,-0.885838673105984,0.746490293083519,-0.5
13.86,-0.910384678335025,0.740055435008018,-0.5
13.89,-0.934423275719438,0.733207919146525,-0.5
13.92,-0.957959920912371,0.725966372569595,-0.5
13.95,-0.981000014026482,0.718348373946308,-0.5
13.98,-1.00354888421954,0.710370532704684,-0.5
14.01,-1.02561177728164,0.702048561147366,-0.5
14.04,-1.04719384573265,0.693397340238687,-0.5
14.07,-1.06830014101917,0.68443097969978,-0.5
14.1,-1.08893560746692,0.675162872978115,-0.5
14.13,-1.10910507770014,0.665605747595868,-0.5
14.16,-1.12881326928554,0.655771711326713,-0.5
14.19,-1.14806478239724,0.645672294602224,-0.5
14.22,-1.16686409833094,0.635318489506278,-0.5
14.25,-1.18521557872292,0.62472078567801,-0.5
14.28,-1.20312346535181,0.613889203410302,-0.5
14.31,-1.22059188042024,0.602833324201146,-0.5
14.34,-1.23762482722948,0.59156231898883,-0.5
14.37,-1.25422619117369,0.580084974278526,-0.5
14.4,-1.27039974099149,0.568409716347079,-0.5
14.43,-1.28614913022284,0.556544633694273,-0.5
14.46,-1.3014778988265,0.544497497892413,-0.5
14.49,-1.31638947492106,0.532275782971332,-0.5
14.52,-1.33088717661774,0.519886683462854,-0.5
14.55,-1.34497421391849,0.507337131217004,-0.5
14.58,-1.3586536906571,0.49463381109177,-0.5
14.61,-1.37192860646427,0.481783175608843,-0.5
14.64,-1.38480185874122,0.468791458659321,-0.5
14.67,-1.39727624462847,0.455664688335825,-0.5
